alphanumiso;material_id;year;factor;source
PNG598;Me.Ag;2018;9455.744851502666;based on S&P Global mining data and price-based allocation of ore
PNG598;Me.Ag;2019;9460.331994993665;based on S&P Global mining data and price-based allocation of ore
PNG598;Me.Ag;2020;9462.711422366;based on S&P Global mining data and price-based allocation of ore
POL616;Me.Ag;2016;4505.990266367868;based on S&P Global mining data and price-based allocation of ore
POL616;Me.Ag;2017;4509.539360715574;based on S&P Global mining data and price-based allocation of ore
POL616;Me.Ag;2018;4513.183946391021;based on S&P Global mining data and price-based allocation of ore
POL616;Me.Ag;2019;4516.160092772281;based on S&P Global mining data and price-based allocation of ore
POL616;Me.Ag;2020;4517.703869237426;based on S&P Global mining data and price-based allocation of ore
PRK408;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PRK408;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PRK408;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PRK408;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PRK408;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PRT620;Me.Ag;2016;4068.432923531134;based on S&P Global mining data and price-based allocation of ore
PRT620;Me.Ag;2017;4111.803635576483;based on S&P Global mining data and price-based allocation of ore
PRT620;Me.Ag;2018;4156.3412726095985;based on S&P Global mining data and price-based allocation of ore
PRT620;Me.Ag;2019;4192.710434728344;based on S&P Global mining data and price-based allocation of ore
PRT620;Me.Ag;2020;4211.57572203058;based on S&P Global mining data and price-based allocation of ore
ROU642;Me.Ag;2016;4643.00610877848;based on S&P Global mining data and price-based allocation of ore
ROU642;Me.Ag;2017;4643.006108778481;based on S&P Global mining data and price-based allocation of ore
ROU642;Me.Ag;2018;4643.006108778482;based on S&P Global mining data and price-based allocation of ore
ROU642;Me.Ag;2019;4643.006108778481;based on S&P Global mining data and price-based allocation of ore
ROU642;Me.Ag;2020;4643.006108778481;based on S&P Global mining data and price-based allocation of ore
RUS643;Me.Ag;2016;4135.183529102671;based on S&P Global mining data and price-based allocation of ore
RUS643;Me.Ag;2017;4110.359784915134;based on S&P Global mining data and price-based allocation of ore
RUS643;Me.Ag;2018;4084.868137296541;based on S&P Global mining data and price-based allocation of ore
